OrderID,CustomerID,SalespersonPersonID,PickedByPersonID,ContactPersonID,BackorderOrderID,OrderDate,ExpectedDeliveryDate,CustomerPurchaseOrderNumber,IsUndersupplyBackordered,Comments,DeliveryInstructions,InternalComments,PickingCompletedWhen,LastEditedBy,LastEditedWhen
68,972,3,4,3172,NULL,2013-01-01,2013-01-02,11389,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
69,567,20,4,2333,NULL,2013-01-01,2013-01-02,12559,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
70,92,6,4,1183,NULL,2013-01-01,2013-01-02,19457,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
71,811,8,4,3011,NULL,2013-01-01,2013-01-02,18468,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
72,10,15,4,1019,NULL,2013-01-01,2013-01-02,14486,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
73,431,16,4,2061,NULL,2013-01-01,2013-01-02,18036,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
74,908,6,4,3108,NULL,2013-01-01,2013-01-02,13079,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
75,995,15,4,3195,NULL,2013-01-01,2013-01-02,19402,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
76,910,15,4,3110,NULL,2013-01-01,2013-01-02,15267,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
77,545,8,4,2289,NULL,2013-01-01,2013-01-02,12781,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
78,1000,20,4,3200,NULL,2013-01-01,2013-01-02,17334,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
79,415,13,4,2029,NULL,2013-01-01,2013-01-02,16645,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
80,543,3,NULL,2285,131,2013-01-02,2013-01-03,17591,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
81,456,6,NULL,2111,132,2013-01-02,2013-01-03,14618,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
82,487,7,4,2173,NULL,2013-01-02,2013-01-03,19857,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
83,154,6,4,1307,NULL,2013-01-02,2013-01-03,17849,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
84,111,15,4,1221,NULL,2013-01-02,2013-01-03,10947,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
85,569,8,14,2337,NULL,2013-01-02,2013-01-03,11610,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
86,585,14,4,2369,NULL,2013-01-02,2013-01-03,11610,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
87,128,16,NULL,1255,133,2013-01-02,2013-01-03,14853,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
88,473,13,4,2145,NULL,2013-01-02,2013-01-03,10821,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
89,58,20,4,1115,NULL,2013-01-02,2013-01-03,15491,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
90,586,8,NULL,2371,134,2013-01-02,2013-01-03,14474,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
91,910,7,4,3110,NULL,2013-01-02,2013-01-03,10079,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
92,82,7,4,1163,NULL,2013-01-02,2013-01-03,11612,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
93,3,15,4,1005,NULL,2013-01-02,2013-01-03,11991,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
94,857,14,NULL,3057,135,2013-01-02,2013-01-03,19321,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
95,453,16,NULL,2105,136,2013-01-02,2013-01-03,10210,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
96,457,8,4,2113,NULL,2013-01-02,2013-01-03,14970,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
97,107,15,4,1213,NULL,2013-01-02,2013-01-03,17468,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
98,990,8,NULL,3190,137,2013-01-02,2013-01-03,11643,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
99,864,13,NULL,3064,138,2013-01-02,2013-01-03,16411,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
100,172,14,4,1343,NULL,2013-01-02,2013-01-03,19525,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
101,473,13,NULL,2145,139,2013-01-02,2013-01-03,10996,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
102,122,2,14,1243,NULL,2013-01-02,2013-01-03,16474,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
103,592,15,4,2383,NULL,2013-01-02,2013-01-03,15832,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
104,92,13,NULL,1183,140,2013-01-02,2013-01-03,12134,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
105,86,15,14,1171,NULL,2013-01-02,2013-01-03,13630,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
106,979,14,NULL,3179,141,2013-01-02,2013-01-03,14902,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
107,826,13,NULL,3026,142,2013-01-02,2013-01-03,15212,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
108,943,16,4,3143,NULL,2013-01-02,2013-01-03,19609,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
109,140,3,NULL,1279,143,2013-01-02,2013-01-03,19809,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
110,68,6,NULL,1135,144,2013-01-02,2013-01-03,13551,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
111,28,20,4,1055,NULL,2013-01-02,2013-01-03,12805,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
112,939,15,NULL,3139,145,2013-01-02,2013-01-03,18797,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
113,127,14,4,1253,NULL,2013-01-02,2013-01-03,11553,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
114,844,7,NULL,3044,146,2013-01-02,2013-01-03,11156,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
115,551,3,NULL,2301,147,2013-01-02,2013-01-03,18583,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
116,122,6,4,1243,NULL,2013-01-02,2013-01-03,19122,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
117,866,16,4,3066,NULL,2013-01-02,2013-01-03,11615,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
118,812,13,NULL,3012,148,2013-01-02,2013-01-03,12262,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
119,828,20,4,3028,NULL,2013-01-02,2013-01-03,10310,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
120,34,20,NULL,1067,149,2013-01-02,2013-01-03,19254,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
121,841,20,4,3041,NULL,2013-01-02,2013-01-03,13954,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
122,841,15,4,3041,NULL,2013-01-02,2013-01-03,13960,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
123,92,16,NULL,1183,150,2013-01-02,2013-01-03,14630,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
124,44,20,NULL,1087,151,2013-01-02,2013-01-03,18585,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
125,408,6,4,2015,NULL,2013-01-02,2013-01-03,18834,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
126,913,13,NULL,3113,152,2013-01-02,2013-01-03,18451,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
127,181,8,4,1361,NULL,2013-01-02,2013-01-03,19842,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
128,443,7,4,2085,NULL,2013-01-02,2013-01-03,18893,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
129,889,14,4,3089,NULL,2013-01-02,2013-01-03,13004,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
130,49,13,NULL,1097,153,2013-01-02,2013-01-03,19890,1,NULL,NULL,NULL,2013-01-02 12:00:00.0000000,9,2013-01-02 12:00:00.0000000
131,543,3,14,2285,NULL,2013-01-02,2013-01-03,17591,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
132,456,6,14,2111,NULL,2013-01-02,2013-01-03,14618,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
133,128,16,14,1255,NULL,2013-01-02,2013-01-03,14853,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
134,586,8,14,2371,NULL,2013-01-02,2013-01-03,14474,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
135,857,14,14,3057,NULL,2013-01-02,2013-01-03,19321,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
136,453,16,14,2105,NULL,2013-01-02,2013-01-03,10210,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
137,990,8,14,3190,NULL,2013-01-02,2013-01-03,11643,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
138,864,13,14,3064,NULL,2013-01-02,2013-01-03,16411,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
139,473,13,14,2145,NULL,2013-01-02,2013-01-03,10996,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
140,92,13,14,1183,NULL,2013-01-02,2013-01-03,12134,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
141,979,14,14,3179,NULL,2013-01-02,2013-01-03,14902,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
142,826,13,14,3026,NULL,2013-01-02,2013-01-03,15212,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
143,140,3,14,1279,NULL,2013-01-02,2013-01-03,19809,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
144,68,6,14,1135,NULL,2013-01-02,2013-01-03,13551,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
145,939,15,14,3139,NULL,2013-01-02,2013-01-03,18797,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
146,844,7,14,3044,NULL,2013-01-02,2013-01-03,11156,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
147,551,3,14,2301,NULL,2013-01-02,2013-01-03,18583,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
148,812,13,14,3012,NULL,2013-01-02,2013-01-03,12262,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
149,34,20,14,1067,NULL,2013-01-02,2013-01-03,19254,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
150,92,16,14,1183,NULL,2013-01-02,2013-01-03,14630,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
151,44,20,14,1087,NULL,2013-01-02,2013-01-03,18585,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
152,913,13,14,3113,NULL,2013-01-02,2013-01-03,18451,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
153,49,13,14,1097,NULL,2013-01-02,2013-01-03,19890,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
154,84,16,14,1167,NULL,2013-01-03,2013-01-04,12941,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
155,427,15,14,2053,NULL,2013-01-03,2013-01-04,13508,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
156,911,13,NULL,3111,211,2013-01-03,2013-01-04,15403,1,NULL,NULL,NULL,2013-01-03 12:00:00.0000000,2,2013-01-03 12:00:00.0000000
157,484,6,14,2167,NULL,2013-01-03,2013-01-04,19391,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
158,914,14,NULL,3114,212,2013-01-03,2013-01-04,17938,1,NULL,NULL,NULL,2013-01-03 12:00:00.0000000,2,2013-01-03 12:00:00.0000000
159,569,15,14,2337,NULL,2013-01-03,2013-01-04,19140,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
160,547,2,NULL,2293,213,2013-01-03,2013-01-04,16362,1,NULL,NULL,NULL,2013-01-03 12:00:00.0000000,2,2013-01-03 12:00:00.0000000
161,430,20,14,2059,NULL,2013-01-03,2013-01-04,18795,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
162,563,8,NULL,2325,214,2013-01-03,2013-01-04,16388,1,NULL,NULL,NULL,2013-01-03 12:00:00.0000000,2,2013-01-03 12:00:00.0000000
163,893,20,NULL,3093,215,2013-01-03,2013-01-04,18492,1,NULL,NULL,NULL,2013-01-03 12:00:00.0000000,2,2013-01-03 12:00:00.0000000
164,407,8,NULL,2013,216,2013-01-03,2013-01-04,15272,1,NULL,NULL,NULL,2013-01-03 12:00:00.0000000,2,2013-01-03 12:00:00.0000000
165,160,15,NULL,1319,217,2013-01-03,2013-01-04,14938,1,NULL,NULL,NULL,2013-01-03 12:00:00.0000000,2,2013-01-03 12:00:00.0000000
166,823,14,14,3023,NULL,2013-01-03,2013-01-04,13868,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
167,585,20,14,2369,NULL,2013-01-03,2013-01-04,18901,1,NULL,NULL,NULL,2013-01-03 11:00:00.0000000,14,2013-01-03 11:00:00.0000000
